                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.6242,                 5.0551,                 3.0289,                0.00559,                0.66667,                0.05259,                0.02166,                 2.5465,                 4.9111,                 3.1167,              3.334e-05,              3.334e-05,              3.334e-05
                      2,                 2.3786,                 4.8071,                 2.8436,                0.00538,                0.66667,                0.05467,                 0.0249,                 2.5231,                 4.8943,                 3.1469,             7.5098e-05,             7.5098e-05,             7.5098e-05
                      3,                 2.3256,                 4.6526,                 2.6664,                0.00554,                0.83333,                0.10623,                0.02526,                 2.1457,                 5.2868,                 2.9309,             0.00010695,             0.00010695,             0.00010695
                      4,                  2.037,                 4.4599,                 2.5026,                0.00582,                      1,                0.35487,                0.12137,                 2.0544,                 4.9248,                 2.7401,             0.00012891,             0.00012891,             0.00012891
                      5,                 1.8692,                 4.0263,                 2.3069,                0.00579,                      1,                0.35699,                0.07655,                 1.9997,                 4.9635,                 2.7448,             0.00014096,             0.00014096,             0.00014096
                      6,                 1.7238,                 3.8616,                 2.1641,                0.00577,                      1,                0.23105,                0.07594,                  1.951,                 4.9805,                 2.4889,             0.00014311,             0.00014311,             0.00014311
                      7,                 1.6454,                 3.7866,                  2.094,                0.00584,                      1,                0.34068,                0.18469,                 1.8926,                 4.8447,                  2.328,             0.00013536,             0.00013536,             0.00013536
                      8,                 1.6454,                 3.5402,                 2.0668,                0.00583,                      1,                0.38869,                0.19383,                 1.8907,                   4.64,                 2.1954,             0.00011771,             0.00011771,             0.00011771
                      9,                 1.6691,                 3.5473,                 2.0521,                0.00596,                      1,                0.48095,                0.20602,                 1.7579,                 4.6001,                  2.007,             9.0151e-05,             9.0151e-05,             9.0151e-05
                     10,                 1.5861,                 3.2105,                 1.9452,                0.00498,                0.83333,                0.56089,                0.24505,                 1.7184,                 4.6425,                 1.9826,             5.2694e-05,             5.2694e-05,             5.2694e-05
